Title,Read,Saga,Saga number,Wishlist,Author,Language,Cover,Images,Rating,Review,Annotations
El color de la magia,READ,Rincewind,1,OBTAINED,Terry Pratchett,ES,,,,,
La luz fantástica,READ,Rincewind,2,OBTAINED,Terry Pratchett,ES,,,,,
Rechicero,READ,Rincewind,3,OBTAINED,Terry Pratchett,ES,,,,,
Fausto Eric,READ,Rincewind,4,OBTAINED,Terry Pratchett,ES,,,,,
Tiempos interesantes,READ,Rincewind,5,OBTAINED,Terry Pratchett,ES,,,,,
El país del fin del mundo,READ,Rincewind,6,OBTAINED,Terry Pratchett,ES,,,,,
El último héroe,READ,Rincewind,7,OBTAINED,Terry Pratchett,ES,,,,,
El Atlético Invisible,READ,Rincewind,8,OBTAINED,Terry Pratchett,ES,,,,,
Imagenes en accion,READ,Industrial revolution,1,OBTAINED,Terry Pratchett,ES,,,,,
La verdad,READ,Industrial revolution,2,OBTAINED,Terry Pratchett,ES,,,,,
Regimiento monstruoso,READ,Industrial revolution,3,OBTAINED,Terry Pratchett,ES,,,,,
Cartas en el asunto,READ,Industrial revolution,4,OBTAINED,Terry Pratchett,ES,,,,,
Dinero a mansalva,READ,Industrial revolution,5,OBTAINED,Terry Pratchett,ES,,,,,
A  todo vapor,READ,Industrial revolution,6,OBTAINED,Terry Pratchett,ES,,,,,
¡Guardias! ¡Guardias!,READ,City watch,1,OBTAINED,Terry Pratchett,ES,,,,,
Hombres de armas,READ,City watch,2,OBTAINED,Terry Pratchett,ES,,,,,
Pies de barro,READ,City watch,3,OBTAINED,Terry Pratchett,ES,,,,,
¡Voto a bríos!,READ,City watch,4,OBTAINED,Terry Pratchett,ES,,,,,
El quinto elefante,READ,City watch,5,OBTAINED,Terry Pratchett,ES,,,,,
Ronda de noche,READ,City watch,6,OBTAINED,Terry Pratchett,ES,,,,,
¡Zas!,READ,City watch,7,OBTAINED,Terry Pratchett,ES,,,,,
Snuff,READ,City watch,8,OBTAINED,Terry Pratchett,ES,,,,,
Mort,READ,Death,1,OBTAINED,Terry Pratchett,ES,,,,,
El segador,READ,Death,2,OBTAINED,Terry Pratchett,ES,,,,,
Soul Music,READ,Death,3,OBTAINED,Terry Pratchett,ES,,,,,
Papá Puerco,READ,Death,4,OBTAINED,Terry Pratchett,ES,,,,,
Ladrón del tiempo,READ,Death,5,OBTAINED,Terry Pratchett,ES,,,,,
Pirómides,READ,History,,OBTAINED,Terry Pratchett,ES,,,,,
Dioses menores,READ,History,,OBTAINED,Terry Pratchett,ES,,,,,
Ritos iguales,READ,Witches,1,OBTAINED,Terry Pratchett,ES,,,,,
Brujerías,READ,Witches,2,OBTAINED,Terry Pratchett,ES,,,,,
Brujas de viaje,READ,Witches,3,OBTAINED,Terry Pratchett,ES,,,,,
Lores y damas,READ,Witches,4,OBTAINED,Terry Pratchett,ES,,,,,
Mascarada,READ,Witches,5,OBTAINED,Terry Pratchett,ES,,,,,
Carpe Jugulum,READ,Witches,6,OBTAINED,Terry Pratchett,ES,,,,,
El asombroso Mauricio y sus roedores sabios,UNREAD,Tiffany,1,OBTAINED,Terry Pratchett,ES,,,,,
Los pequeños hombres libres,UNREAD,Tiffany,2,OBTAINED,Terry Pratchett,ES,,,,,
Un sombrero de cielo,UNREAD,Tiffany,3,OBTAINED,Terry Pratchett,ES,,,,,
La corona de hielo,UNREAD,Tiffany,4,OBTAINED,Terry Pratchett,ES,,,,,
Me vestiré de medianoche,UNREAD,Tiffany,5,OBTAINED,Terry Pratchett,ES,,,,,
La corona del pastor,UNREAD,Tiffany,6,OBTAINED,Terry Pratchett,ES,,,,,
Sólo tú puedes salvar a la humanidad  ,UNREAD,Johnny Maxwell,1,OBTAINED,Terry Pratchett,ES,,,,,
Johnny y los muertos  ,UNREAD,Johnny Maxwell,2,OBTAINED,Terry Pratchett,ES,,,,,
Johnny y la bomba,UNREAD,Johnny Maxwell,3,OBTAINED,Terry Pratchett,ES,,,,,
The Long Earth,UNREAD,The Long,1,OBTAINED,Terry Pratchett,ENG,,,,,
The Long War,UNREAD,The Long,2,OBTAINED,Terry Pratchett,ENG,,,,,
The Long Mars,UNREAD,The Long,3,OBTAINED,Terry Pratchett,ENG,,,,,
The Long Utopia,UNREAD,The Long,4,OBTAINED,Terry Pratchett,ENG,,,,,
The Long Cosmos,UNREAD,The Long,5,OBTAINED,Terry Pratchett,ENG,,,,,
El pueblo de debajo de la alfombra,UNREAD,,,OBTAINED,Terry Pratchett,ES,,,,,
Perillan,UNREAD,,,OBTAINED,Terry Pratchett,ES,,,,,
Strata,UNREAD,,,OBTAINED,Terry Pratchett,ENG,,,,,
The dark side of the sun,UNREAD,,,OBTAINED,Terry Pratchett,ENG,,,,,
El exodo de los gnomos,UNREAD,,,OBTAINED,Terry Pratchett,ES,,,,,
De un plumazo,UNREAD,,,OBTAINED,Terry Pratchett,ENG,,,,,
Good Omens,UNREAD,,,OBTAINED,Terry Pratchett,ES,,,,,
Nation,UNREAD,,,OBTAINED,Terry Pratchett,ENG,,,,,
The end of Eternity,READ,,,OBTAINED,Isaac Asimov,ENG,,,,,
Los propios dioses,UNREAD,,,OBTAINED,Isaac Asimov,ENG,,,,,
Nemesis,UNREAD,,,OBTAINED,Isaac Asimov,ENG,,,,,
"I, robot",READ,Robots,1,OBTAINED,Isaac Asimov,ENG,,,,,
The rest of the robots,UNREAD,Robots,2,OBTAINED,Isaac Asimov,ENG,,,,,
The Caves of Steel,UNREAD,Robots,3,OBTAINED,Isaac Asimov,ENG,,,,,
